Sun,-1.825623863622719E+08,1.126224630851537E+09,-6.793202822509978E+06,-11.411049591251605,2.472937586167555,0.3656183774746773,1.9885E+30
Mercury,-3.484395641042834E+09,4.716789315769619E+10,4.058331010710696E+09,-5.837577318050489E+04,-1.711772678561098E+03,5.214245019260407E+03,3.302E+23
Venus,-6.434762013981040E+10,-8.615316532206999E+10,2.498439826356906E+09,2.795837550843371E+04,-2.090276090565639E+04,-1.900706835293998E+03,48.685E+23
Earth,-1.383583420013581E+11,5.461206608880828E+10,-9.038373258773237E+06,-1.126390612063996E+04,-2.788868162397018E+04,2.576304515830685,5.97219E+24
Mars,6.640980595177636E+10,2.196970867541286E+11,2.939052492832616E+09,-2.227598996397932E+04,9.124402015034205E+03,7.377463380220375E+02,6.4171E+23
Jupiter,-2.591866611352437E+11,-7.533333274229790E+11,8.922107186717749E+09,1.219780813933444E+04,-3.626440098208692E+03,-2.577662496053599E+02,1898.13E+24
Saturn,3.376945769264771E+11,-1.464988654714891E+12,1.203015389362246E+10,8.881384424736458E+03,2.139290340954649E+03,-3.907439494348170E+02,5.6834E+26
Uranus,2.527432214162969E+12,1.561000309412503E+12,-2.694559958628035E+10,-3.628375717812243E+03,5.476564868665101E+03,67.42555748055779,86.813E24
Neptune,4.342137231903996E+12,-1.092617493314263E+12,-7.756850754972041E+10,1.29092559927183E+03,5.303234536770653E+03,-1.395334325848592E+02,102.413E+24
Pluto,1.803543702510134E+12,-4.714530720774421E+12,-1.720951290658212E+10,5.184227868853154E+03,7.912544989880114E+02,-1.567322960605717E+03,1.307E+22
Moon,-1.383841588295538E+11,5.42159750861588E+10,8.699345099244267E+06,-1.02886552754953E+04,-2.800486991207071E+04,72.60376535208657,7.349E+22
Halleys_Comet,-3.047479684982653E+12,3.950488031697641E+12,-1.4895082962979E+12,3.00382944759827E+02,1.104385809001649E+03,-1.007269477559595E+02,2.2E+14
